barb,0
ben,1
bob,2
bonnie,3
carter,4
chad,5
dave b.,6
dave monkey,7
dawn,8
drb sr,9
drew,10
fagan,11
garret,12
gully,13
jake,14
josh,15
jr's lackey,	16
liquorboy,17
liquorman,18
liz,19
louise,20
louise/mike,21
M&M,22
mike1,23
mike2,24
neal,25
peninsular,danny	26
petey,27
plastino,28
purdue pete,29
regina,30
RF,31
sara,32
Sfagan,33
sholar,34
silzer,35
spring jihad,36
stef,37
storage boy,38
szymanski,39
terry,40
Tfagan,41
the toddfather,42
tyler,43
