name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
peninsular danny,10,Oregon,Wisconsin,18,$0.0,0.0%,0.0%,0.0%,13.17
RF,12,Oregon,Wisconsin,18,$0.0,0.0%,0.0%,0.0%,9.36
jake,13,Oregon,Wisconsin,18,$0.0,0.0%,0.0%,0.0%,8.27
terry,14,Oregon,Wisconsin,18,$0.0,0.0%,0.0%,0.0%,8.41
tyler,15,Oregon,Wisconsin,18,$0.0,0.0%,0.0%,0.0%,8.65

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
gully,11,UC Irvine,Kansas St.,19,$179.18,70.0%,9.0%,0.0%,1.51
terry,14,UC Irvine,Kansas St.,19,$81.74,22.0%,43.83%,0.0%,2.13
chad,5,UC Irvine,Kansas St.,19,$40.2,8.0%,32.83%,0.0%,3.0
liquorman,6,UC Irvine,Kansas St.,19,$20.98,0.0%,33.83%,0.0%,3.41
bob,0,UC Irvine,Kansas St.,19,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,7.11
drew,2,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,11.25
liz,3,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,4.7
barb,4,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,15.0
dave monkey,7,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,5.86
purdue pete,8,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,13.23
stef,9,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,13.77
peninsular danny,10,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,11.58
RF,12,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,8.1
jake,13,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,9.87
tyler,15,UC Irvine,Kansas St.,19,$0.0,0.0%,0.0%,0.0%,8.62

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Villanova,Saint Mary's,20,$227.82,89.36%,10.0%,0.0%,1.11
chad,5,Villanova,Saint Mary's,20,$92.04,16.36%,83.0%,0.0%,1.84
bob,0,Villanova,Saint Mary's,20,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,4.08
drew,2,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,13.18
liz,3,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,4.49
barb,4,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,4.93
dave monkey,7,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,8.37
purdue pete,8,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,13.82
stef,9,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,10.98
peninsular danny,10,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,11.0
gully,11,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,4.71
jake,13,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,8.49
terry,14,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,6.52
tyler,15,Villanova,Saint Mary's,20,$0.0,0.0%,0.0%,0.0%,11.02

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
gully,11,Purdue,Old Dominion,21,$165.09,58.45%,32.45%,0.0%,1.5
liquorman,6,Purdue,Old Dominion,21,$95.42,28.64%,39.36%,0.0%,2.23
chad,5,Purdue,Old Dominion,21,$78.18,26.82%,18.82%,0.0%,2.27
bob,0,Purdue,Old Dominion,21,$10.0,0.0%,0.0%,100.0%,16.0
RF,12,Purdue,Old Dominion,21,$4.28,0.0%,6.91%,0.0%,4.19
terry,14,Purdue,Old Dominion,21,$1.13,0.0%,1.82%,0.0%,4.55
dave b.,1,Purdue,Old Dominion,21,$0.0,0.0%,0.0%,0.0%,10.13
drew,2,Purdue,Old Dominion,21,$0.0,0.0%,0.0%,0.0%,11.1
liz,3,Purdue,Old Dominion,21,$0.0,0.0%,0.0%,0.0%,6.0
barb,4,Purdue,Old Dominion,21,$0.0,0.0%,0.0%,0.0%,15.0
dave monkey,7,Purdue,Old Dominion,21,$0.0,0.0%,0.0%,0.0%,6.8
purdue pete,8,Purdue,Old Dominion,21,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Purdue,Old Dominion,21,$0.0,0.0%,0.0%,0.0%,12.87
peninsular danny,10,Purdue,Old Dominion,21,$0.0,0.0%,0.0%,0.0%,9.14
jake,13,Purdue,Old Dominion,21,$0.0,0.0%,0.0%,0.0%,11.12
tyler,15,Purdue,Old Dominion,21,$0.0,0.0%,0.0%,0.0%,8.58

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Iowa,Cincinnati,22,$215.76,87.0%,0.0%,0.0%,1.26
gully,11,Iowa,Cincinnati,22,$47.85,0.0%,77.18%,0.0%,2.45
terry,14,Iowa,Cincinnati,22,$39.68,13.0%,12.0%,0.0%,2.91
chad,5,Iowa,Cincinnati,22,$11.27,0.0%,18.18%,0.0%,3.31
bob,0,Iowa,Cincinnati,22,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,8.05
drew,2,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,12.74
liz,3,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,5.76
barb,4,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,5.39
dave monkey,7,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,6.85
purdue pete,8,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,11.01
peninsular danny,10,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,12.2
jake,13,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,9.51
tyler,15,Iowa,Cincinnati,22,$0.0,0.0%,0.0%,0.0%,9.44

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Tennessee,Colgate,23,$248.0,100.0%,0.0%,0.0%,1.0
chad,5,Tennessee,Colgate,23,$61.61,0.0%,99.36%,0.0%,2.01
bob,0,Tennessee,Colgate,23,$10.0,0.0%,0.0%,100.0%,16.0
gully,11,Tennessee,Colgate,23,$3.95,0.0%,6.36%,0.0%,3.36
dave b.,1,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,5.36
drew,2,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,11.99
liz,3,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,3.96
barb,4,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,5.85
dave monkey,7,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,7.32
purdue pete,8,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,13.22
stef,9,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,9.89
peninsular danny,10,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,13.59
jake,13,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,9.49
terry,14,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,6.66
tyler,15,Tennessee,Colgate,23,$0.0,0.0%,0.0%,0.0%,10.62

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,North Carolina,Iona,24,$190.45,72.0%,19.18%,0.0%,1.37
terry,14,North Carolina,Iona,24,$101.68,28.0%,52.0%,0.0%,2.15
liquorman,6,North Carolina,Iona,24,$10.03,0.0%,16.18%,0.0%,3.59
bob,0,North Carolina,Iona,24,$10.0,0.0%,0.0%,100.0%,16.0
chad,5,North Carolina,Iona,24,$6.82,0.0%,11.0%,0.0%,3.85
gully,11,North Carolina,Iona,24,$5.58,0.0%,9.0%,0.0%,3.59
dave b.,1,North Carolina,Iona,24,$0.0,0.0%,0.0%,0.0%,8.0
drew,2,North Carolina,Iona,24,$0.0,0.0%,0.0%,0.0%,13.13
liz,3,North Carolina,Iona,24,$0.0,0.0%,0.0%,0.0%,6.0
barb,4,North Carolina,Iona,24,$0.0,0.0%,0.0%,0.0%,15.0
dave monkey,7,North Carolina,Iona,24,$0.0,0.0%,0.0%,0.0%,7.0
purdue pete,8,North Carolina,Iona,24,$0.0,0.0%,0.0%,0.0%,13.82
stef,9,North Carolina,Iona,24,$0.0,0.0%,0.0%,0.0%,10.21
peninsular danny,10,North Carolina,Iona,24,$0.0,0.0%,0.0%,0.0%,12.05
jake,13,North Carolina,Iona,24,$0.0,0.0%,0.0%,0.0%,9.6
tyler,15,North Carolina,Iona,24,$0.0,0.0%,0.0%,0.0%,10.19

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Washington,Utah St.,25,$248.0,100.0%,0.0%,0.0%,1.0
gully,11,Washington,Utah St.,25,$47.12,0.0%,76.0%,0.0%,2.24
chad,5,Washington,Utah St.,25,$14.88,0.0%,24.0%,0.0%,2.76
bob,0,Washington,Utah St.,25,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,6.35
drew,2,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,11.4
liz,3,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,4.76
barb,4,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,4.53
dave monkey,7,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,6.36
purdue pete,8,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,11.6
peninsular danny,10,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,13.0
jake,13,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,9.6
terry,14,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,7.72
tyler,15,Washington,Utah St.,25,$0.0,0.0%,0.0%,0.0%,9.4

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
liquorman,6,Auburn,New Mexio St.,26,$248.0,100.0%,0.0%,0.0%,1.0
chad,5,Auburn,New Mexio St.,26,$39.62,0.0%,63.91%,0.0%,2.36
gully,11,Auburn,New Mexio St.,26,$26.15,0.0%,42.18%,0.0%,2.65
bob,0,Auburn,New Mexio St.,26,$9.7,0.0%,0.0%,97.0%,15.86
RF,12,Auburn,New Mexio St.,26,$2.31,0.0%,3.73%,0.0%,4.15
tyler,15,Auburn,New Mexio St.,26,$0.3,0.0%,0.0%,3.0%,13.93
dave b.,1,Auburn,New Mexio St.,26,$0.0,0.0%,0.0%,0.0%,8.71
drew,2,Auburn,New Mexio St.,26,$0.0,0.0%,0.0%,0.0%,11.55
liz,3,Auburn,New Mexio St.,26,$0.0,0.0%,0.0%,0.0%,5.03
barb,4,Auburn,New Mexio St.,26,$0.0,0.0%,0.0%,0.0%,9.79
dave monkey,7,Auburn,New Mexio St.,26,$0.0,0.0%,0.0%,0.0%,6.75
purdue pete,8,Auburn,New Mexio St.,26,$0.0,0.0%,0.0%,0.0%,11.23
stef,9,Auburn,New Mexio St.,26,$0.0,0.0%,0.0%,0.0%,13.28
peninsular danny,10,Auburn,New Mexio St.,26,$0.0,0.0%,0.0%,0.0%,14.8
jake,13,Auburn,New Mexio St.,26,$0.0,0.0%,0.0%,0.0%,8.44
terry,14,Auburn,New Mexio St.,26,$0.0,0.0%,0.0%,0.0%,6.11

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Kansas,Northeastern,27,$248.0,100.0%,0.0%,0.0%,1.0
terry,14,Kansas,Northeastern,27,$24.18,0.0%,39.0%,0.0%,3.36
gully,11,Kansas,Northeastern,27,$22.94,0.0%,37.0%,0.0%,2.94
chad,5,Kansas,Northeastern,27,$14.88,0.0%,24.0%,0.0%,3.47
bob,0,Kansas,Northeastern,27,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,8.0
drew,2,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,13.23
liz,3,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,5.77
barb,4,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,4.09
dave monkey,7,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,7.0
purdue pete,8,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,13.77
stef,9,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,11.0
peninsular danny,10,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,12.0
jake,13,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,9.86
tyler,15,Kansas,Northeastern,27,$0.0,0.0%,0.0%,0.0%,9.14

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Ohio St.,Iowa St.,28,$248.0,100.0%,0.0%,0.0%,1.0
gully,11,Ohio St.,Iowa St.,28,$45.88,0.0%,74.0%,0.0%,2.3
chad,5,Ohio St.,Iowa St.,28,$16.12,0.0%,26.0%,0.0%,3.23
bob,0,Ohio St.,Iowa St.,28,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,7.73
drew,2,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,12.59
liz,3,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,6.0
barb,4,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,3.75
dave monkey,7,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,7.13
purdue pete,8,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,13.55
stef,9,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,10.4
peninsular danny,10,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,12.74
jake,13,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,9.64
terry,14,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,4.2
tyler,15,Ohio St.,Iowa St.,28,$0.0,0.0%,0.0%,0.0%,10.08

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Houston,Georgia St.,29,$248.0,100.0%,0.0%,0.0%,1.0
chad,5,Houston,Georgia St.,29,$57.77,0.0%,93.18%,0.0%,2.07
bob,0,Houston,Georgia St.,29,$10.0,0.0%,0.0%,100.0%,16.0
gully,11,Houston,Georgia St.,29,$4.51,0.0%,7.27%,0.0%,3.55
terry,14,Houston,Georgia St.,29,$4.28,0.0%,6.91%,0.0%,4.09
dave b.,1,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,7.83
drew,2,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,11.79
liz,3,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,4.5
barb,4,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,14.92
liquorman,6,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,6.39
dave monkey,7,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,6.05
purdue pete,8,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,14.08
stef,9,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,11.12
peninsular danny,10,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,13.0
jake,13,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,9.17
tyler,15,Houston,Georgia St.,29,$0.0,0.0%,0.0%,0.0%,9.89

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
chad,5,Wofford,Seton Hall,30,$210.69,80.45%,18.0%,0.0%,1.2
RF,12,Wofford,Seton Hall,30,$99.09,33.45%,26.0%,0.0%,2.3
gully,11,Wofford,Seton Hall,30,$20.46,0.0%,33.0%,0.0%,2.89
bob,0,Wofford,Seton Hall,30,$10.0,0.0%,0.0%,100.0%,16.0
terry,14,Wofford,Seton Hall,30,$3.72,0.0%,6.0%,0.0%,4.24
dave b.,1,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,8.0
drew,2,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,10.85
liz,3,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,4.24
barb,4,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,7.0
dave monkey,7,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,6.0
purdue pete,8,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,11.09
peninsular danny,10,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,13.0
jake,13,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,9.08
tyler,15,Wofford,Seton Hall,30,$0.0,0.0%,0.0%,0.0%,10.98

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
gully,11,Kentucky,Abilene Christ.,31,$149.65,49.91%,41.73%,0.0%,1.58
RF,12,Kentucky,Abilene Christ.,31,$132.68,49.0%,18.0%,0.0%,2.03
chad,5,Kentucky,Abilene Christ.,31,$15.73,1.91%,17.73%,0.0%,3.12
liquorman,6,Kentucky,Abilene Christ.,31,$14.88,0.0%,24.0%,0.0%,3.33
bob,0,Kentucky,Abilene Christ.,31,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,6.17
drew,2,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,13.98
liz,3,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,5.25
barb,4,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,15.0
dave monkey,7,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,7.88
purdue pete,8,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,13.02
stef,9,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,9.7
peninsular danny,10,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,12.0
jake,13,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,8.77
terry,14,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,6.75
tyler,15,Kentucky,Abilene Christ.,31,$0.0,0.0%,0.0%,0.0%,10.65

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Duke,UCF,32,$248.0,100.0%,0.0%,0.0%,1.0
gully,11,Duke,UCF,32,$38.72,0.0%,62.45%,0.0%,2.5
liquorman,6,Duke,UCF,32,$18.6,0.0%,30.0%,0.0%,2.88
bob,0,Duke,UCF,32,$10.0,0.0%,0.0%,100.0%,16.0
terry,14,Duke,UCF,32,$7.72,0.0%,12.45%,0.0%,3.64
dave b.,1,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,8.25
drew,2,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,12.17
liz,3,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,6.07
barb,4,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,15.0
chad,5,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,4.89
dave monkey,7,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,7.43
purdue pete,8,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,12.17
peninsular danny,10,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,11.6
jake,13,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,8.23
tyler,15,Duke,UCF,32,$0.0,0.0%,0.0%,0.0%,9.93

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Virginia Tech,Liberty,33,$248.0,100.0%,0.0%,0.0%,1.0
liquorman,6,Virginia Tech,Liberty,33,$40.92,0.0%,66.0%,0.0%,2.34
chad,5,Virginia Tech,Liberty,33,$21.08,0.0%,34.0%,0.0%,2.66
bob,0,Virginia Tech,Liberty,33,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,8.0
drew,2,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,12.17
liz,3,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,5.68
barb,4,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,15.0
dave monkey,7,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,7.0
purdue pete,8,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,13.37
stef,9,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,11.21
peninsular danny,10,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,13.25
gully,11,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,4.23
jake,13,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,9.78
terry,14,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,5.0
tyler,15,Virginia Tech,Liberty,33,$0.0,0.0%,0.0%,0.0%,9.22

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,LSU,Maryland,34,$248.0,100.0%,0.0%,0.0%,1.0
chad,5,LSU,Maryland,34,$62.0,0.0%,100.0%,0.0%,2.0
bob,0,LSU,Maryland,34,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,8.0
drew,2,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,13.3
liz,3,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,4.26
barb,4,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,5.02
dave monkey,7,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,5.58
purdue pete,8,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,13.57
stef,9,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,10.63
peninsular danny,10,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,12.08
gully,11,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,3.0
jake,13,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,10.22
terry,14,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,6.82
tyler,15,LSU,Maryland,34,$0.0,0.0%,0.0%,0.0%,9.0

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Michigan St.,Minnesota,35,$168.02,62.0%,23.0%,0.0%,1.99
liquorman,6,Michigan St.,Minnesota,35,$121.35,38.0%,43.73%,0.0%,1.92
tyler,15,Michigan St.,Minnesota,35,$10.48,0.0%,16.91%,0.0%,3.76
bob,0,Michigan St.,Minnesota,35,$10.0,0.0%,0.0%,100.0%,16.0
gully,11,Michigan St.,Minnesota,35,$8.0,0.0%,12.91%,0.0%,4.52
chad,5,Michigan St.,Minnesota,35,$4.17,0.0%,6.73%,0.0%,3.36
dave b.,1,Michigan St.,Minnesota,35,$0.0,0.0%,0.0%,0.0%,8.85
drew,2,Michigan St.,Minnesota,35,$0.0,0.0%,0.0%,0.0%,12.45
liz,3,Michigan St.,Minnesota,35,$0.0,0.0%,0.0%,0.0%,6.6
barb,4,Michigan St.,Minnesota,35,$0.0,0.0%,0.0%,0.0%,15.0
dave monkey,7,Michigan St.,Minnesota,35,$0.0,0.0%,0.0%,0.0%,8.26
purdue pete,8,Michigan St.,Minnesota,35,$0.0,0.0%,0.0%,0.0%,12.58
stef,9,Michigan St.,Minnesota,35,$0.0,0.0%,0.0%,0.0%,10.66
peninsular danny,10,Michigan St.,Minnesota,35,$0.0,0.0%,0.0%,0.0%,13.97
jake,13,Michigan St.,Minnesota,35,$0.0,0.0%,0.0%,0.0%,10.15
terry,14,Michigan St.,Minnesota,35,$0.0,0.0%,0.0%,0.0%,5.51

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Gonzaga,Baylor,36,$248.0,100.0%,0.0%,0.0%,1.0
terry,14,Gonzaga,Baylor,36,$54.0,0.0%,87.09%,0.0%,2.13
gully,11,Gonzaga,Baylor,36,$18.66,0.0%,30.09%,0.0%,2.7
bob,0,Gonzaga,Baylor,36,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,7.07
drew,2,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,12.63
liz,3,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,6.11
barb,4,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,15.0
chad,5,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,5.19
liquorman,6,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,4.39
dave monkey,7,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,8.07
purdue pete,8,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,10.79
peninsular danny,10,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,12.32
jake,13,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,9.97
tyler,15,Gonzaga,Baylor,36,$0.0,0.0%,0.0%,0.0%,8.21

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Florida St.,Murray St.,37,$167.17,57.18%,40.91%,0.0%,1.44
chad,5,Florida St.,Murray St.,37,$154.83,50.18%,49.0%,0.0%,1.5
bob,0,Florida St.,Murray St.,37,$10.0,0.0%,0.0%,100.0%,16.0
gully,11,Florida St.,Murray St.,37,$6.76,0.0%,10.91%,0.0%,2.89
dave b.,1,Florida St.,Murray St.,37,$0.0,0.0%,0.0%,0.0%,8.46
drew,2,Florida St.,Murray St.,37,$0.0,0.0%,0.0%,0.0%,12.49
liz,3,Florida St.,Murray St.,37,$0.0,0.0%,0.0%,0.0%,5.56
barb,4,Florida St.,Murray St.,37,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Florida St.,Murray St.,37,$0.0,0.0%,0.0%,0.0%,4.24
dave monkey,7,Florida St.,Murray St.,37,$0.0,0.0%,0.0%,0.0%,7.02
purdue pete,8,Florida St.,Murray St.,37,$0.0,0.0%,0.0%,0.0%,14.0
