name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
chad,5,Maryland,Belmont,4,$6.82,0.0%,11.0%,0.0%,2.89
dave b.,1,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,8.44
drew,2,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,12.19
liz,3,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,5.01
barb,4,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,8.43
dave monkey,7,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,6.26
purdue pete,8,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,10.44
peninsular danny,10,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,11.64
gully,11,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,4.0
jake,13,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,6.7
tyler,15,Maryland,Belmont,4,$0.0,0.0%,0.0%,0.0%,11.52

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,LSU,Yale,5,$248.0,100.0%,0.0%,0.0%,1.0
chad,5,LSU,Yale,5,$62.0,0.0%,100.0%,0.0%,2.0
bob,0,LSU,Yale,5,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,7.87
drew,2,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,13.43
liz,3,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,4.07
barb,4,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,6.66
dave monkey,7,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,5.02
purdue pete,8,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,13.57
stef,9,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,11.1
peninsular danny,10,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,11.83
gully,11,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,3.27
jake,13,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,9.86
terry,14,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,5.86
tyler,15,LSU,Yale,5,$0.0,0.0%,0.0%,0.0%,9.13

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Minnesota,Louisville,6,$218.24,86.0%,8.0%,0.0%,1.21
terry,14,Minnesota,Louisville,6,$45.99,14.0%,18.18%,0.0%,2.9
gully,11,Minnesota,Louisville,6,$41.2,0.0%,66.45%,0.0%,2.52
chad,5,Minnesota,Louisville,6,$14.71,0.0%,23.73%,0.0%,2.96
bob,0,Minnesota,Louisville,6,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,7.0
drew,2,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,12.69
liz,3,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,5.0
barb,4,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,8.0
dave monkey,7,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,5.97
purdue pete,8,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,10.55
peninsular danny,10,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,11.97
jake,13,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,9.0
tyler,15,Minnesota,Louisville,6,$0.0,0.0%,0.0%,0.0%,10.79

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Michigan St.,Bradley,7,$128.4,46.27%,22.0%,0.0%,2.25
tyler,15,Michigan St.,Bradley,7,$122.82,33.27%,65.0%,0.0%,1.68
liquorman,6,Michigan St.,Bradley,7,$69.21,26.91%,4.0%,0.0%,2.56
bob,0,Michigan St.,Bradley,7,$10.0,0.0%,0.0%,100.0%,16.0
terry,14,Michigan St.,Bradley,7,$2.25,0.91%,0.0%,0.0%,4.4
dave b.,1,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,8.86
drew,2,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,12.32
liz,3,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,6.88
barb,4,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,15.0
chad,5,Michigan St.,Bradley,7,$0.0,0.0%,0.0%,0.0%,4.33
